,id,name,Crimes Total,Robbery,Street Robbery,Physical Injuries Total,Dangerous Injuries,Threats and Stalking,Theft Total,Theft of Cars,Theft From Cars,Theft of Bicycle,Burglary,Arson Total,Arson Starting,Damage to Property Total,Damage to Property by Graffiti,Drug Offences,Neighborhood Crimes,Year
0,126011,MV Nord,13914.0,291.0,187.0,1856.0,461.0,672.0,6343.0,141.0,955.0,345.0,174.0,104.0,33.0,1249.0,116.0,461.0,4570.0,2013
1,126011,MV Nord,13478.0,219.0,118.0,1719.0,435.0,642.0,6255.0,138.0,984.0,443.0,150.0,179.0,81.0,1146.0,102.0,297.0,4715.0,2014
2,126011,MV Nord,13613.0,170.0,97.0,1500.0,392.0,542.0,6709.0,231.0,1051.0,368.0,89.0,109.0,28.0,902.0,65.0,307.0,4485.0,2015
3,126011,MV Nord,12364.0,185.0,118.0,1458.0,436.0,515.0,5657.0,161.0,963.0,365.0,110.0,98.0,43.0,1116.0,244.0,334.0,3567.0,2016
4,126011,MV Nord,9768.0,123.0,69.0,1406.0,272.0,487.0,4181.0,157.0,832.0,264.0,61.0,115.0,61.0,820.0,149.0,218.0,2705.0,2017
5,126011,MV Nord,8486.0,134.0,73.0,1293.0,256.0,516.0,3285.0,187.0,673.0,195.0,54.0,88.0,19.0,685.0,46.0,272.0,2451.0,2018
6,126011,MV Nord,8443.0,106.0,61.0,1362.0,349.0,448.0,3197.0,159.0,652.0,201.0,49.0,110.0,57.0,709.0,27.0,186.0,2610.0,2019
7,126011,MV Nord,7632.0,98.0,57.0,1154.0,288.0,503.0,3027.0,102.0,647.0,201.0,61.0,136.0,61.0,783.0,42.0,223.0,2444.0,2020
8,126011,MV Nord,7917.0,79.0,41.0,1154.0,258.0,446.0,2854.0,49.0,558.0,247.0,49.0,49.0,26.0,888.0,34.0,169.0,2858.0,2021
9,126011,MV Nord,8431.952662721890,70.26627218934910,51.77514792899410,1305.473372781070,329.14201183432000,595.4142011834320,2914.201183431950,107.24852071005900,521.4497041420120,258.8757396449700,66.5680473372781,118.34319526627200,29.585798816568000,839.4970414201180,25.88757396449700,170.11834319526600,2899.408284023670,2022
10,76012,Marienfelde Nord,7593.0,93.0,41.0,753.0,169.0,303.0,3455.0,123.0,858.0,268.0,263.0,64.0,6.0,619.0,64.0,123.0,1763.0,2013
11,76012,Marienfelde Nord,7696.0,122.0,93.0,650.0,122.0,279.0,3552.0,93.0,998.0,464.0,244.0,99.0,23.0,853.0,128.0,110.0,1730.0,2014
12,76012,Marienfelde Nord,7028.0,52.0,35.0,705.0,156.0,277.0,3165.0,81.0,670.0,456.0,387.0,40.0,6.0,728.0,110.0,92.0,1490.0,2015
13,76012,Marienfelde Nord,6723.0,74.0,51.0,697.0,108.0,147.0,3229.0,164.0,566.0,680.0,193.0,79.0,34.0,623.0,91.0,147.0,1359.0,2016
14,76012,Marienfelde Nord,6836.0,45.0,17.0,809.0,173.0,212.0,2980.0,123.0,798.0,508.0,151.0,33.0,11.0,658.0,123.0,123.0,1562.0,2017
15,76012,Marienfelde Nord,7079.0,62.0,28.0,566.0,140.0,196.0,3122.0,45.0,768.0,342.0,191.0,67.0,28.0,600.0,129.0,230.0,1412.0,2018
